Infos
"['https://divar.ir/v/-/wYZsd0SP', ['پژو روآ بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۱۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۷۷٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYY0jCht', ['پژو 405 GLX - دوگانه سوز CNG'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۹ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۸۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZgMaMs', ['پراید 111 SE'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی، در ۲ ناحیه', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۴۳٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYXUBtaH', ['پراید صندوق\u200cدار CNG'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۴ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۴۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZs9bhI', ['پیکان بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۷ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۳۹٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZw93F2', ['پژو روآ دوگانه سوز'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'قیمت', '۷۹٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZgsnn_', ['پژو 405 GLX بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'تمام\u200cرنگ', 'مهلت بیمهٔ شخص ثالث', '۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۸۲٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYV0MtbX', ['پراید صندوق\u200cدار CNG'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی', 'مهلت بیمهٔ شخص ثالث', '۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۷۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ09d_R', ['پژو 405 GLX بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی', 'مهلت بیمهٔ شخص ثالث', '۳ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۳۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZsd8x9', ['سمند LX ساده'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۹ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۸۸٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZstdMW', ['پراید 131 SL'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'شاسی جلو', 'ضربه\u200cخورده', 'شاسی عقب', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۳ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۲۲٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZsNiNh', ['پراید 131 SX'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۵۹٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZsNa9N', ['نیسان'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۱۰ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۷۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ09Z4F', ['پراید هاچبک'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۶۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZsNTjV', ['پژو 405 GLX - دوگانه سوز LPG'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۶۳٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ0dedy', ['پژو 405 GLX بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۱۰ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۷۰٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZoNi5v', ['تیبا هاچبک SX'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۱۰ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۹۰٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZstl19', ['پراید 111 SX'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'شاسی جلو', 'ضربه\u200cخورده', 'شاسی عقب', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۰۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYX8kFtv', ['پژو 206 SD V9'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'اتوماتیک', 'نحوه فروش', 'نقدی', 'قیمت', '۱۹۰٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYQ4_vTW', ['پراید 131 SE'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'شاسی جلو', 'رنگ\u200cشده', 'شاسی عقب', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۲۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ09CgC', ['پژو 206 تیپ ۲'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۱۲٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYMwIfQf', ['پژو 206 تیپ ۲'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۴ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۳۴٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZstMkw', ['وانت مزدا 1600'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۷۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZwd7sN', ['پراید صندوق\u200cدار بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۵ ماه', 'قیمت', '۷۶٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZod7FQ', ['پژو پارس سال'], ['برند و تیپ', 'وضعیت بدنه', 'رنگ\u200cشدگی', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۲۰۰٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ09Ofe', ['پراید صندوق\u200cدار بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'شاسی جلو', 'ضربه\u200cخورده', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۶ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۵۳٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZE9R3M', ['پژو پارس ELX (سفارشی) TU5'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۴۷٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZwd39_', ['پیکان وانت CNG'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'شاسی جلو', 'ضربه\u200cخورده', 'شاسی عقب', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۷ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۶۵٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZwd2z2', ['پژو 405 GLX بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'دوررنگ', 'مهلت بیمهٔ شخص ثالث', '۱۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۳۸٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ09IGp', ['پراید صندوق\u200cدار CNG'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۱۲ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۸۰٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZwtwVJ', ['پراید صندوق\u200cدار بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'خط و خش جزیی', 'مهلت بیمهٔ شخص ثالث', '۱۱ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۸۳٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZ09NIt', ['پراید 131 SE'], ['برند و تیپ', 'شاسی عقب', 'سالم و پلمپ', 'وضعیت بدنه', 'رنگ\u200cشدگی', 'مهلت بیمهٔ شخص ثالث', '۱۰ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۱۱۰٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZwNujk', ['پژو 405 GL بنزینی'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'وضعیت شاسی\u200cها', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۴ ماه', 'گیربکس', 'دنده\u200cای', 'قیمت', '۵۸٬۰۰۰٬۰۰۰ تومان']]"
"['https://divar.ir/v/-/wYZwNu1V', ['پیکان وانت'], ['برند و تیپ', 'وضعیت موتور', 'سالم', 'شاسی جلو', 'ضربه\u200cخورده', 'شاسی عقب', 'سالم و پلمپ', 'وضعیت بدنه', 'سالم و بی\u200cخط و خش', 'مهلت بیمهٔ شخص ثالث', '۵ ماه', 'گیربکس', 'دنده\u200cای', 'نحوه فروش', 'نقدی', 'قیمت', '۹۰٬۰۰۰٬۰۰۰ تومان']]"
