Distance,Year,Color,MotorState,ChassisState,Guarantee,GearboxModel,PaymentMode,Price,Block
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۳۵۹٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۳۳,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای,نقدی,۲۷۸٬۰۰۰٬۰۰۰ تومان
۲۰۵٬۰۰۰,1387,نوک‌مدادی,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۴ ماه,دنده‌ای,نقدی,۱۵۳٬۰۰۰٬۰۰۰ تومان
۴۰٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,توافقی
۲۴٬۰۰۰,1392,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۱۸۸٬۰۰۰٬۰۰۰ تومان
۴۶٬۰۰۰,2017,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,توافقی
۹۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,اتوماتیک,نقدی,توافقی
۲۱۸٬۰۰۰,1389,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,دنده‌ای,نقدی,۱۲۵٬۰۰۰٬۰۰۰ تومان
۲۶۰٬۰۰۰,1389,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,۱۲۹٬۰۰۰٬۰۰۰ تومان
۹۵٬۰۰۰,2014,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,توافقی
۸۷٬۵۰۰,1396,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,اتوماتیک,نقدی,۷۳۰٬۰۰۰٬۰۰۰ تومان
۵۰٬۰۰۰,2017,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,"نقدی, قابل معاوضه",برای معاوضه
۷۵٬۰۰۰,2017,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی,توافقی
۱۸۷٬۰۰۰,1389,خاکستری,سالم,سالم و پلمپ,دوررنگ,۵ ماه,دنده‌ای,نقدی,توافقی
۷۸٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۱۰ ماه,اتوماتیک,نقدی,۴۹۹٬۰۰۰٬۰۰۰ تومان
۱۵۰٬۰۰۰,2012,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,اتوماتیک,نقدی,توافقی
۲۰٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی و قسطی,۱۷۵٬۰۰۰٬۰۰۰ تومان
۴۰٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی و قسطی,۳۴۷٬۰۰۰٬۰۰۰ تومان
۲٬۸۰۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی,۳۰۵٬۰۰۰٬۰۰۰ تومان
۲۵۵٬۰۰۰,1383,نقره‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی,۵۱۰٬۰۰۰٬۰۰۰ تومان
۷٬۰۰۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی و قسطی,۳۶۵٬۰۰۰٬۰۰۰ تومان
۱۷۷٬۰۰۰,1388,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی,توافقی
۰,1401,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,غیرقابل نمایش
۱۰٬۰۰۰,1399,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی,۸۵۰٬۰۰۰٬۰۰۰ تومان
۱۸۰٬۰۰۰,2009,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۱۱ ماه,اتوماتیک,نقدی,۱٬۱۵۰٬۰۰۰٬۰۰۰ تومان
۸۰٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۶۰٬۰۰۰٬۰۰۰ تومان
۲۰۰٬۰۰۰,1387,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,اتوماتیک,قسطی,۱۸۵٬۰۰۰٬۰۰۰ تومان
۶۹٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۱۰۰٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی و قسطی,۶۸۰٬۰۰۰٬۰۰۰ تومان
۷۰٬۰۰۰,1398,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۲۸۱٬۰۰۰٬۰۰۰ تومان
۴۹٬۰۰۰,1397,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,اتوماتیک,نقدی,۴۰۵٬۰۰۰٬۰۰۰ تومان
۸۰٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی و قسطی,۴۳۰٬۰۰۰٬۰۰۰ تومان
۸۰٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۴ ماه,دنده‌ای,نقدی,۳۱۰٬۰۰۰٬۰۰۰ تومان
۱۴۲٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,رنگ‌شدگی، در ۱ ناحیه,۸ ماه,دنده‌ای,نقدی,۱۴۳٬۰۰۰٬۰۰۰ تومان
۴۵٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,۲۰۵٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۰۵٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۱۹٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۱۷۱٬۰۰۰٬۰۰۰ تومان
۱٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۲۹۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۲۸۰٬۰۰۰٬۰۰۰ تومان
۴۵٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی,۱۶۵٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۱۱۴٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۱۷۰٬۰۰۰٬۰۰۰ تومان
۱۳۰٬۰۰۰,2013,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,اتوماتیک,نقدی,۱٬۲۹۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۱۹٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۰۵٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۱۶۵٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۳۷٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۱۱۴٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۲۲۲٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۳۷٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۱۶۵٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۳۷٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۱۶۹٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۱۶۹٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۱۱۰٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۲۸۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۲۰۵٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,قسطی,۱۰۴٬۰۰۰٬۰۰۰ تومان
۲۱٬۰۰۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی,۳۶۸٬۰۰۰٬۰۰۰ تومان
۵۰٬۰۰۰,2018,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,توافقی
۷۰٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,۲۵۵٬۰۰۰٬۰۰۰ تومان
۱۹۵٬۰۰۰,1387,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی,۸۵٬۰۰۰٬۰۰۰ تومان
۱۶۸٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی,۱۴۸٬۰۰۰٬۰۰۰ تومان
۲۹۰٬۰۰۰,1385,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,دنده‌ای,نقدی,۷۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,قسطی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,قسطی,توافقی
۱۶۰٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی,۱۳۵٬۰۰۰٬۰۰۰ تومان
۸۰٬۰۰۰,1397,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی,۱۶۸٬۰۰۰٬۰۰۰ تومان
۸٬۵۰۰,1399,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی,۸۷۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۰,1401,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۴۰٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی,۱۸۲٬۰۰۰٬۰۰۰ تومان
۱۱۴٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی,۱۴۳٬۰۰۰٬۰۰۰ تومان
۹۹٬۰۰۰,2015,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان
۰,1401,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۰,1401,قرمز,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۰,1401,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۸۹۰٬۰۰۰٬۰۰۰ تومان
۴٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی,۲۸۴٬۰۰۰٬۰۰۰ تومان
۱۰۸٬۳۰۰,1391,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۱ ماه,دنده‌ای,نقدی,۲۶۳٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۶۲۸٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۴۶۶٬۰۰۰٬۰۰۰ تومان
۴۳٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۴۳۹٬۰۰۰٬۰۰۰ تومان
۳٬۵۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۱۹۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,۵۳۰٬۰۰۰٬۰۰۰ تومان
۵۰٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۱۷۵٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۲۸۷٬۰۰۰٬۰۰۰ تومان
۵۳٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی,۲۳۵٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی,غیرقابل نمایش
۱۱۰٬۰۰۰,1395,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,دنده‌ای,نقدی,۲۳۵٬۰۰۰٬۰۰۰ تومان
۸۳٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی,۱۵۸٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۴۲۲٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۹٬۱۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی,۱۸۹٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۱۴۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۳ ماه,دنده‌ای,نقدی,۱۳۰٬۰۰۰٬۰۰۰ تومان
۱۱۶٬۰۰۰,1394,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی,۱۷۵٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۳۹۰٬۰۰۰٬۰۰۰ تومان
۵۱٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,اتوماتیک,قسطی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,اتوماتیک,نقدی و قسطی,توافقی
۱۳٬۰۰۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی,۱۹۰٬۰۰۰٬۰۰۰ تومان
۲۸۸٬۰۰۰,1385,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,اتوماتیک,نقدی و قسطی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۷۸٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,اتوماتیک,نقدی,۷۳۰٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی,۳۸۹٬۰۰۰٬۰۰۰ تومان
۱۰٬۲۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای,نقدی,توافقی
۲۶۵٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱ ماه,دنده‌ای,نقدی,۱۵۵٬۰۰۰٬۰۰۰ تومان
۱۷۰٬۰۰۰,1387,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی و قسطی,توافقی
۲۰۸٬۰۰۰,1395,نوک‌مدادی,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,نقدی,۱۲۸٬۰۰۰٬۰۰۰ تومان
۷۰٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,توافقی
۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۳۵٬۰۰۰,1399,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,"نقدی, قابل معاوضه",برای معاوضه
۹۰٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,اتوماتیک,نقدی و قسطی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۰,1401,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,۳۳۹٬۵۰۰٬۰۰۰ تومان
۱۶۰٬۰۰۰,1390,نقره‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی و قسطی,۴۸۰٬۰۰۰٬۰۰۰ تومان
۵۰٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی و قسطی,۷۹۰٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,غیرقابل نمایش
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۱۳٬۱۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی,۱۹۸٬۰۰۰٬۰۰۰ تومان
۹۹٬۲۵۰,1394,سفید,سالم,سالم و پلمپ,دوررنگ,۷ ماه,دنده‌ای,نقدی,۲۰۵٬۰۰۰٬۰۰۰ تومان
۱۲۱٬۰۰۰,1378,یشمی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی,۹۵٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,توافقی
۱۶۰٬۰۰۰,1388,مشکی,سالم,سالم و پلمپ,رنگ‌شدگی,۸ ماه,اتوماتیک,نقدی,۷۱۰٬۰۰۰٬۰۰۰ تومان
۶۷٬۰۰۰,1394,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,نقدی,۳۶۵٬۰۰۰٬۰۰۰ تومان
۴۲٬۰۰۰,2018,کربن‌بلک,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,قسطی,۹۵٬۰۰۰٬۰۰۰ تومان
۴۵٬۰۰۰,1398,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۲۳۷٬۰۰۰٬۰۰۰ تومان
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی,توافقی
۸۲٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی,توافقی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی,توافقی
۱۳۲٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۱ ماه,دنده‌ای,نقدی,توافقی
۷۵٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی,۳۶۸٬۵۰۰٬۰۰۰ تومان
۱۵۶٬۰۰۰,1389,خاکستری,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۶ ماه,دنده‌ای,نقدی,۱۵۹٬۰۰۰٬۰۰۰ تومان
۳۵٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی,توافقی
۱۳۱٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۲ ماه,دنده‌ای,نقدی و قسطی,۲۰۳٬۰۰۰٬۰۰۰ تومان
۲۲۰٬۰۰۰,1387,سفید صدفی,سالم,سالم و پلمپ,رنگ‌شدگی,۱۱ ماه,اتوماتیک,"نقدی, قابل معاوضه",برای معاوضه
۰,1401,آلبالویی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی و قسطی,۱۶۸٬۰۰۰٬۰۰۰ تومان
۷۷٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,۲۷۲٬۰۰۰٬۰۰۰ تومان
۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی,توافقی
۱۹۵٬۰۰۰,2010,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,اتوماتیک,نقدی,۱٬۳۸۰٬۰۰۰٬۰۰۰ تومان
۱۳۸٬۰۰۰,2016,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۱٬۰۴۰٬۰۰۰٬۰۰۰ تومان
۶۰٬۰۰۰,2015,قهوه‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان
۱۶۹٬۰۰۰,1390,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۵۰۰٬۰۰۰٬۰۰۰ تومان
۱۶٬۰۰۰,1400,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی,۱٬۱۱۰٬۰۰۰٬۰۰۰ تومان
۶۸٬۰۰۰,1397,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,نقدی,۲۳۶٬۰۰۰٬۰۰۰ تومان
۷۳٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی,توافقی
